Name_company,Corporate Name,site_url,Authority_Name,Authority_link,date,id,Warning ID,NCA,Date Published At NCA,Date Published At IOSCO,Last Updated,NCA URL,Commercial Name,URL,Other URL,Category,Additional Information
TRUSTFXPRO,,https://www.trustfxpro.com/,Spain - Comisión Nacional del Mercado de Valores,https://www.cnmv.es/portal/resultadobusqueda.aspx?tipo=1&idAdv=5139,2025-07-21,39572,39572.0,,2025-07-21,2025-07-21,2025-07-21,https://www.cnmv.es/portal/resultadobusqueda.aspx?tipo=1&idAdv=5139,TRUSTFXPRO,https://www.trustfxpro.com/,,Unregistered/Unlicensed entity offering financial products or services,
HILTON-TRADE,,https://hilton-trades.sbs/,Spain - Comisión Nacional del Mercado de Valores,https://www.cnmv.es/portal/resultadobusqueda.aspx?tipo=1&idAdv=5140,2025-07-21,39571,39571.0,,2025-07-21,2025-07-21,2025-07-21,https://www.cnmv.es/portal/resultadobusqueda.aspx?tipo=1&idAdv=5140,HILTON-TRADE,https://hilton-trades.sbs/,,Unregistered/Unlicensed entity offering financial products or services,
ELITEGLOBALFX,,https://eliteglobalfx.com/,Spain - Comisión Nacional del Mercado de Valores,https://www.cnmv.es/portal/resultadobusqueda.aspx?tipo=1&idAdv=5141,2025-07-21,39570,39570.0,,2025-07-21,2025-07-21,2025-07-21,https://www.cnmv.es/portal/resultadobusqueda.aspx?tipo=1&idAdv=5141,ELITEGLOBALFX,https://eliteglobalfx.com/,,Unregistered/Unlicensed entity offering financial products or services,
HOXTON CAPITALS,,https://hoxtoncapitals.com/,Spain - Comisión Nacional del Mercado de Valores,https://www.cnmv.es/portal/resultadobusqueda.aspx?tipo=1&idAdv=5142,2025-07-21,39569,39569.0,,2025-07-21,2025-07-21,2025-07-21,https://www.cnmv.es/portal/resultadobusqueda.aspx?tipo=1&idAdv=5142,HOXTON CAPITALS,https://hoxtoncapitals.com/,,Unregistered/Unlicensed entity offering financial products or services,
FIRSTRADERS,,https://firstraders.com,Spain - Comisión Nacional del Mercado de Valores,https://www.cnmv.es/portal/resultadobusqueda.aspx?tipo=1&idAdv=5143,2025-07-21,39568,39568.0,,2025-07-21,2025-07-21,2025-07-21,https://www.cnmv.es/portal/resultadobusqueda.aspx?tipo=1&idAdv=5143,FIRSTRADERS,https://firstraders.com,,Unregistered/Unlicensed entity offering financial products or services,
ZENITH GLOBAL VENTURE,,https://zenithglobalventure.com,Spain - Comisión Nacional del Mercado de Valores,https://www.cnmv.es/portal/resultadobusqueda.aspx?tipo=1&idAdv=5144,2025-07-21,39567,39567.0,,2025-07-21,2025-07-21,2025-07-21,https://www.cnmv.es/portal/resultadobusqueda.aspx?tipo=1&idAdv=5144,ZENITH GLOBAL VENTURE,https://zenithglobalventure.com,,Unregistered/Unlicensed entity offering financial products or services,
SWAPFXTRADE,,https://swapfxtrade.net/,Spain - Comisión Nacional del Mercado de Valores,https://www.cnmv.es/portal/resultadobusqueda.aspx?tipo=1&idAdv=5145,2025-07-21,39566,39566.0,,2025-07-21,2025-07-21,2025-07-21,https://www.cnmv.es/portal/resultadobusqueda.aspx?tipo=1&idAdv=5145,SWAPFXTRADE,https://swapfxtrade.net/,,Unregistered/Unlicensed entity offering financial products or services,
GAIN WHEAL FUNDS,,https://gainwhealfundslimited.com/,Spain - Comisión Nacional del Mercado de Valores,https://www.cnmv.es/portal/resultadobusqueda.aspx?tipo=1&idAdv=5146,2025-07-21,39565,39565.0,,2025-07-21,2025-07-21,2025-07-21,https://www.cnmv.es/portal/resultadobusqueda.aspx?tipo=1&idAdv=5146,GAIN WHEAL FUNDS,https://gainwhealfundslimited.com/,,Unregistered/Unlicensed entity offering financial products or services,
AI-MININGEX,,https://aiminingex.com/,Spain - Comisión Nacional del Mercado de Valores,https://www.cnmv.es/portal/resultadobusqueda.aspx?tipo=1&idAdv=5147,2025-07-21,39564,39564.0,,2025-07-21,2025-07-21,2025-07-21,https://www.cnmv.es/portal/resultadobusqueda.aspx?tipo=1&idAdv=5147,AI-MININGEX,https://aiminingex.com/,,Unregistered/Unlicensed entity offering financial products or services,
North Elvox,,https://north-elvox.com,British Columbia - British Columbia Securities Commission,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/north-elvox,2025-07-21,39563,39563.0,,2025-07-18,2025-07-21,2025-07-21,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/north-elvox,North Elvox,https://north-elvox.com,,Unregistered/Unlicensed entity offering financial products or services,
SM Trading Center,,https://smtradingcenter.com,British Columbia - British Columbia Securities Commission,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/sm-trading-center,2025-07-21,39562,39562.0,,2025-07-16,2025-07-21,2025-07-21,https://www.bcsc.bc.ca/enforcement/early-intervention/investment-caution-list/2025/sm-trading-center,SM Trading Center,https://smtradingcenter.com,,Unregistered/Unlicensed entity offering financial products or services,
